Year,GeoFIPS,Net_earnings_by_place_of_residence,Percapita_personal_income,Population,Wage_and_salary_employment,Earnings_per_job_avg,Personal_income,Total_employment
2017-01-01,12027,418926,23869,37252,10734,42028,889180,13682
2017-01-01,37037,2407319,59921,71248,15983,35090,4269280,27317
2017-01-01,37099,686490,31851,43192,18494,41083,1375707,23101
2017-01-01,37077,1370437,36852,59374,22440,50650,2188055,28248
2017-01-01,34011,3332629,38630,151748,64119,55254,5861990,75530
2017-01-01,16065,589878,24881,39373,17525,33534,979659,23349
2017-01-01,31037,289175,39161,10775,5420,50496,421958,6813
2017-01-01,01029,315386,34862,14906,2512,42944,519659,4121
2017-01-01,45019,14199139,58588,401738,275942,58584,23537053,347859
2017-01-01,13031,1404239,30825,76084,28387,38901,2345298,36256
2017-01-01,01103,2683177,38289,118811,50531,46616,4549210,64224
2017-01-01,31097,120011,36160,5176,1721,47498,187163,2648
2017-01-01,22085,405933,33001,24009,5670,41783,792329,8285
2017-01-01,37065,787833,33327,52757,17697,39661,1758210,21551
2017-01-01,51025,255043,31653,16616,4147,37641,525942,5470
2017-01-01,51911,2606726,36317,136151,75739,49076,4944560,89013
2017-01-01,29061,146617,33550,8359,1663,26768,280441,3984
2017-01-01,31025,882070,50955,25904,6340,42049,1319937,10104
2017-01-01,05127,165681,30330,10374,3292,36610,314645,4719
2017-01-01,01063,116255,31388,8318,1994,32226,261086,3144
2017-01-01,29211,143496,39075,6199,2607,45692,242227,3902
2017-01-01,18111,336604,37763,14041,3570,40083,530237,4991
2017-01-01,05137,132363,29491,12517,2893,27651,369142,4972
2017-01-01,39097,1208028,40598,44047,18298,49834,1788226,23423
2017-01-01,01085,218422,39011,10104,2652,46607,394169,4060
2017-01-01,20201,130807,43064,5466,2161,31954,235388,3616
2017-01-01,40049,553364,36372,27870,10348,42722,1013683,15812
2017-01-01,48151,62648,35079,3904,1014,20984,136948,2021
2017-01-01,05017,178001,35538,10639,3600,36934,378090,4787
2017-01-01,20191,561670,38969,23098,7245,40091,900117,10835
2017-01-01,21151,1954298,34654,91226,36451,41891,3161351,45658
2017-01-01,37173,275024,37192,14266,6814,40049,530585,8531
2017-01-01,08057,33805,45186,1379,595,32680,62312,1030
2017-01-01,48223,815782,37630,36493,13619,39095,1373231,20093
2017-01-01,39173,3988490,45082,130532,72327,51090,5884680,86814
2017-01-01,21085,464687,32558,26264,8272,33997,855093,12194
2017-01-01,08041,20339867,46692,700800,319535,54123,32721960,414197
2017-01-01,21109,181629,27836,13420,1786,25017,373556,3459
2017-01-01,30033,20360,35337,1288,407,26268,45514,848
2017-01-01,48037,2046418,38758,93977,44442,46258,3642393,55461
2017-01-01,54107,1861404,39614,85083,38566,47680,3370464,46170
2017-01-01,41057,528190,42509,26574,9758,44056,1129643,13693
2017-01-01,38041,67386,49252,2485,926,37161,122390,1724
2017-01-01,48465,1015268,34655,49096,19796,44202,1701430,25450
2017-01-01,06061,16569231,64015,385565,171733,59258,24681918,234612
2017-01-01,24039,385326,31147,25913,7268,54514,807107,9689
2017-01-01,24001,1347560,38754,71386,31234,48802,2766459,36504
2017-01-01,56007,520584,53844,15242,7287,56041,820694,9677
2017-01-01,06015,469178,36172,27428,8521,51554,992138,10875
2017-01-01,27047,708613,42680,30537,12731,41344,1303316,16837
2017-01-01,19187,919312,42623,36643,19179,49762,1561843,23587
2017-01-01,19023,419850,47707,14582,3851,42111,695666,6772
2017-01-01,23025,984762,36980,50421,17628,44987,1864562,23363
2017-01-01,41037,128918,37029,7890,2622,39374,292155,3862
2017-01-01,42067,709549,43589,24628,7122,47749,1073509,10873
2017-01-01,42105,384815,40149,16835,5742,51829,675907,8284
2017-01-01,08065,163459,34801,7753,2429,40571,269814,3539
2017-01-01,02198,150747,41456,6469,2252,53232,268177,3117
2017-01-01,25025,39564553,77036,801455,718152,106239,61740846,850476
2017-01-01,12119,1489843,44097,124933,30739,41746,5509132,42991
2017-01-01,12059,271102,29598,19448,3741,30493,575625,6242
2017-01-01,12007,495214,32876,27133,7202,39253,892024,9447
2017-01-01,12089,2563596,55738,82864,23923,41482,4618715,34925
2017-01-01,12107,1032007,30823,73385,17574,40649,2261916,23359
2017-01-01,47125,5207331,40461,200015,57663,42356,8092879,77890
2017-01-01,13013,1928938,35560,78843,19925,40793,2803653,29156
2017-01-01,13047,1465842,34048,66503,15900,38657,2264262,22395
2017-01-01,47151,308063,28106,21985,6070,35598,617909,8234
2017-01-01,01055,1967440,35542,102937,39104,39171,3658631,50527
2017-01-01,18013,403697,45194,14999,3224,29735,677871,5586
2017-01-01,01000,116486143,40467,4875120,2072890,48798,197283188,2653968
2017-01-01,31041,280281,44158,10880,4818,38151,480442,7865
2017-01-01,01041,279740,35823,13861,4135,40414,496545,6029
2017-01-01,18143,505872,36227,23853,8758,41390,864114,10542
2017-01-01,28161,219416,35020,12474,3173,33077,436841,4942
2017-01-01,31121,227344,45743,7861,2526,48382,359586,4111
2017-01-01,18153,387504,33765,20699,6003,42976,698894,7842
2017-01-01,16047,579145,53995,15170,6785,64571,819106,8988
2017-01-01,20023,59634,41532,2690,985,34532,111721,1762
2017-01-01,51953,1384414,39269,71065,31574,41379,2790624,40036
2017-01-01,31047,622152,40642,23643,12143,45978,960897,15377
2017-01-01,31045,182684,36124,8885,3636,35646,320963,5230
2017-01-01,47033,277264,34675,14465,4208,39538,501568,5983
2017-01-01,40093,183875,40204,7674,2541,32178,308525,4995
2017-01-01,40039,692096,39009,28942,13533,44847,1128992,18480
2017-01-01,40103,266019,40176,11306,4970,41839,454227,7335
2017-01-01,20141,86458,43447,3556,1529,32286,154497,2668
2017-01-01,48265,1060481,47670,51850,19243,38731,2471693,31299
2017-01-01,40055,70322,26804,5797,1263,25209,155380,2129
2017-01-01,23023,997566,48764,35423,16386,52421,1727383,22006
2017-01-01,48375,3142765,41721,120518,82742,55641,5028124,100102
2017-01-01,08093,473713,43280,17920,2738,30703,775573,6038
2017-01-01,22035,112007,36315,7133,2076,41379,259033,2836
2017-01-01,26139,8876223,47043,286922,130691,52352,13497791,166001
2017-01-01,48209,6220146,41539,214277,71729,41283,8900799,106625
2017-01-01,55131,5214081,55813,135063,59011,52043,7538314,74877
2017-01-01,21223,186850,35388,8565,1182,31274,303100,2334
2017-01-01,20087,530487,41883,18990,3925,34156,795358,6928
2017-01-01,48055,814590,32083,42425,9150,34480,1361130,15841
2017-01-01,49009,20998,38788,1022,413,33345,39641,614
2017-01-01,08033,33428,33542,2053,592,22880,68862,1204
2017-01-01,39153,16940326,48894,541742,285002,55254,26488045,349598
2017-01-01,42103,1508275,45340,55523,12240,38416,2517432,18962
2017-01-01,20073,124591,40495,6094,1846,28760,246776,3406
2017-01-01,48475,330888,42704,11423,4856,57807,487805,6405
2017-01-01,24035,2066201,62287,49667,15773,45260,3093631,24536
2017-01-01,54089,176068,31876,12891,2521,34970,410910,3600
2017-01-01,48445,217967,31760,12458,4112,42732,395668,6018
2017-01-01,26155,1542355,37681,68459,17940,39973,2579605,25303
2017-01-01,36021,1827196,53880,60408,22397,44656,3254763,32845
2017-01-01,06059,136032879,65709,3179950,1705373,68113,208949975,2249094
2017-01-01,23009,1478079,48782,54597,23817,43644,2663345,36091
2017-01-01,30027,237449,41218,11283,4849,37580,465059,7303
2017-01-01,35055,493791,36575,32862,11478,31295,1201914,17749
2017-01-01,42071,17854154,49961,541054,258652,56004,27031379,334809
2017-01-01,53013,95099,47011,4023,1384,48012,189127,2129
2017-01-01,19193,2705726,41570,102052,53704,47801,4242280,63580
2017-01-01,17103,825989,40081,34511,12942,48801,1383233,16879
2017-01-01,19089,229037,44126,9219,4151,38256,406801,6231
2017-01-01,19181,1711667,48764,50102,12237,37353,2443161,19227
2017-01-01,17039,458174,45308,15909,5493,60146,720807,7395
2017-01-01,53049,344446,40409,21684,7208,40506,876222,9981
2017-01-01,17000,448098320,53943,12786196,6211324,64255,689723793,7839160
2017-01-01,06089,4088558,44480,179539,69729,50251,7985961,90997
2017-01-01,42109,977493,40322,40585,17821,44175,1636464,23414
2017-01-01,17197,25732089,50449,691017,258043,52467,34861105,332062
2017-01-01,09003,37516602,61938,892931,541394,75824,55306784,657862
2017-01-01,21213,417432,37757,18105,9369,45168,683592,11772
2017-01-01,34037,5825269,58717,141185,41467,49399,8289938,62655
2017-01-01,37135,5455419,63460,143960,79878,57118,9135738,103596
2017-01-01,12065,300307,39715,14147,2711,32546,561845,4968
2017-01-01,37005,181532,36949,11023,3590,32028,407289,5768
2017-01-01,12113,4606262,42972,174069,40761,40051,7480051,61346
2017-01-01,13159,343388,39111,13886,2413,33342,543101,4426
2017-01-01,13153,3886956,41105,153138,66303,53192,6294669,82814
2017-01-01,13249,99281,29949,5254,1071,38953,157351,1612
2017-01-01,46003,71391,42188,2757,878,36482,116311,1678
2017-01-01,46043,101684,53839,2925,1225,49789,157479,2094
2017-01-01,18059,2492963,48483,74940,25038,46652,3633321,34170
2017-01-01,45083,7626684,41783,306632,147519,53100,12812008,180478
2017-01-01,51921,3743349,48870,114709,60459,52489,5605878,74623
2017-01-01,01125,4571078,37157,207709,101805,47255,7717938,125219
2017-01-01,04021,7285821,29587,432114,64117,41722,12784950,97069
2017-01-01,13015,2520480,36844,104981,39396,46335,3867887,52014
2017-01-01,28113,590963,29966,39602,15786,34408,1186713,21187
2017-01-01,51810,15734934,55731,449962,206609,49766,25076837,265642
2017-01-01,18079,589629,37482,27638,7848,40955,1035940,10262
2017-01-01,13063,4763558,27058,284534,130564,52792,7698857,176042
2017-01-01,28005,219939,32432,12444,2209,32077,403590,3963
2017-01-01,29227,40027,36159,2049,436,26841,74089,1070
2017-01-01,47147,1934387,40211,70154,25032,43397,2820978,35310
2017-01-01,18135,517402,36856,24954,7044,42363,919712,9768
2017-01-01,22117,729363,32210,46609,11609,33874,1501255,17572
2017-01-01,28001,478673,32428,31337,11534,36894,1016211,16057
2017-01-01,29195,492474,38453,22924,9129,44599,881502,12004
2017-01-01,20187,61563,52848,2029,904,44472,107229,1530
2017-01-01,47139,308051,32647,16765,2691,33190,547330,4303
2017-01-01,31015,51169,47471,1962,652,42357,93139,1214
2017-01-01,40129,84743,43257,3671,1023,28757,158798,2445
2017-01-01,49023,264614,34560,11248,3692,36972,388731,5335
2017-01-01,55043,1336897,41598,51806,20768,44674,2155034,29072
2017-01-01,31007,21202,47049,734,215,38998,34534,522
2017-01-01,05103,444564,35026,23824,7778,37593,834466,9717
2017-01-01,33011,17203494,58305,413157,216844,66640,24089099,272444
2017-01-01,05065,173109,29374,13680,3462,31946,401839,5361
2017-01-01,18181,585513,41273,24165,9474,42411,997358,12458
2017-01-01,22101,987513,37142,50672,22702,51981,1882055,28312
2017-01-01,40037,1618279,38749,71774,19398,41264,2781140,29286
2017-01-01,30015,79859,32696,5752,1543,25018,188067,2813
2017-01-01,48451,2938645,43536,117689,53067,46068,5123767,70890
2017-01-01,21137,391573,30755,24498,4534,28999,753441,7615
2017-01-01,21013,281924,28620,26904,8783,38514,770005,10487
2017-01-01,55057,553986,36478,26479,9464,43585,965906,12639
2017-01-01,26109,507795,41393,23007,7484,40507,952337,10056
2017-01-01,54033,1806405,44879,67923,39139,55607,3048350,47065
2017-01-01,54091,383122,37954,16910,3537,40252,641798,5165
