Year,County_of_Residence,County_of_Residence_FIPS,Births,Ave_Age_of_Mother,Ave_OE_Gestational_Age_Wks,Ave_LMP_Gestational_Age_Wks,Ave_Birth_Weight_gms,Ave_Pre_pregnancy_BMI,Ave_Number_of_Prenatal_Wks
2018-01-01,"Baldwin County, AL",01003,2290,28.01,38.23,38.39,3258.78,27.28,11.41
2016-01-01,"Baldwin County, AL",01003,2247,27.72,38.37,38.56,3287.43,26.7,11.5
2017-01-01,"Baldwin County, AL",01003,2322,27.96,38.35,38.51,3286.81,26.74,11.28
2016-01-01,"Calhoun County, AL",01015,1357,26.46,38.27,38.45,3186.59,28.26,11.01
2017-01-01,"Calhoun County, AL",01015,1338,26.46,38.25,38.4,3194.95,28.74,10.76
2018-01-01,"Calhoun County, AL",01015,1265,26.67,38.11,38.25,3168.14,28.85,10.45
2017-01-01,"Etowah County, AL",01055,1213,26.29,38.29,38.48,3228.29,29.01,9.69
2016-01-01,"Etowah County, AL",01055,1214,26.33,38.45,38.64,3239.61,28.13,9.9
2018-01-01,"Etowah County, AL",01055,1191,26.51,38.22,38.37,3190.27,28.85,9.62
2016-01-01,"Houston County, AL",01069,1333,26.95,38.29,38.27,3181.58,28.5,11.61
2017-01-01,"Houston County, AL",01069,1295,26.82,38.32,38.36,3205.3,28.89,11.34
2018-01-01,"Houston County, AL",01069,1368,27.04,38.29,38.37,3206.84,29.33,11.29
2017-01-01,"Jefferson County, AL",01073,8706,28.32,38.27,38.25,3150.12,27.34,10.47
2016-01-01,"Jefferson County, AL",01073,8655,28.12,38.27,38.34,3174.79,27.17,10.61
2018-01-01,"Jefferson County, AL",01073,8437,28.44,38.24,38.2,3161.29,27.67,10.27
2018-01-01,"Lee County, AL",01081,1810,28.18,38.24,38.4,3218.48,27.38,12.89
2017-01-01,"Lee County, AL",01081,1898,28.1,38.36,38.56,3230.81,27.04,12.65
2016-01-01,"Lee County, AL",01081,1898,27.94,38.36,38.65,3230.87,26.82,12.13
2017-01-01,"Madison County, AL",01089,4253,28.42,38.13,38.21,3214.86,27.35,9.86
2018-01-01,"Madison County, AL",01089,4262,28.65,38.02,38.11,3180.03,27.65,9.8
2016-01-01,"Madison County, AL",01089,4228,28.32,38.1,38.23,3210.99,27.25,10.03
2016-01-01,"Mobile County, AL",01097,5504,26.95,37.96,38.22,3144.94,27.58,10.95
2018-01-01,"Mobile County, AL",01097,5549,27.25,37.95,38.02,3129.31,28.05,10.87
2017-01-01,"Mobile County, AL",01097,5607,27.1,38.07,38.27,3158.62,27.87,10.84
2017-01-01,"Montgomery County, AL",01101,3172,27.15,38.08,38.18,3099.5,28.73,9.96
2018-01-01,"Montgomery County, AL",01101,3139,27.48,37.9,38.04,3083.55,28.68,10.06
2016-01-01,"Montgomery County, AL",01101,3139,27.22,37.96,38.09,3083.67,28.16,9.95
2018-01-01,"Morgan County, AL",01103,1432,26.91,38.14,38.18,3205.34,28.04,10.65
2016-01-01,"Morgan County, AL",01103,1470,26.78,38.26,38.23,3224.74,27.5,11.04
2017-01-01,"Morgan County, AL",01103,1435,26.7,38.12,38.15,3201.54,27.76,10.78
2018-01-01,"Shelby County, AL",01117,2250,29.45,38.46,38.46,3284.24,27.38,10.42
2016-01-01,"Shelby County, AL",01117,2387,29.36,38.5,38.56,3300.62,26.84,10.9
2017-01-01,"Shelby County, AL",01117,2283,29.49,38.43,38.41,3285.29,26.89,10.76
2018-01-01,"Tuscaloosa County, AL",01125,2406,27.43,38.23,38.38,3193.12,28.09,9.79
2016-01-01,"Tuscaloosa County, AL",01125,2591,27.03,38.11,38.2,3158.02,27.88,9.25
2017-01-01,"Tuscaloosa County, AL",01125,2538,27.43,38.16,38.31,3181.21,27.98,9.65
2016-01-01,"Unidentified Counties, AL",01999,23128,26.46,38.2,38.34,3199.02,28.08,10.63
2017-01-01,"Unidentified Counties, AL",01999,22881,26.56,38.18,38.29,3192.85,28.23,10.61
2018-01-01,"Unidentified Counties, AL",01999,22362,26.66,38.17,38.28,3198.29,28.47,10.53
2016-01-01,"Anchorage Borough, AK",02020,4518,28.6,38.59,38.78,3358.26,27.2,11.3
